-22	11.8
-21.2	13.2
-20.6	14.6
-20.2	14.6
-17.4	14.6
-15.4	13.6
-15.2	12.2
-15.8	10.2
-16.2	8.8
-18.8	7.6
-20	7.6
-21.4	8.4
-21.6	9.8
-21.2	12
-19.2	13
-17	12.8
-16.8	11.2
-18.2	9.6
-19	9.6
-20	10.8
-19.8	11.6
-17.8	4.6
-17.4	1.6
-17.4	-3.6
-16.6	-3.8
-13.6	-3.8
-12	-3.6
-11.6	-3
-11.4	-1
-11.2	2.8
-11.2	3
-12.8	4.6
-13.6	5
-15.2	4.4
-16	3.6
-16.8	1.2
-16.2	-0.2
-17.6	-2
-15.6	-2.2
-14.8	-1.6
-13.2	-0.6
-13	3.2
-14.8	4.4
-7.4	9.2
-6.2	12.8
-6.2	13
-5.6	14.8
-3.4	15.6
-2.8	14.6
-1.2	13.4
-1.4	10.2
-4.8	7.6
-5.6	6.6
-6.8	6.6
-8.2	7.4
-9.6	12
-10	14.4
-9	16
-8	17.8
-7.4	17.4
-5.6	17.2
-5	15.6
-4.4	12.2
-3.4	11
-4.4	9
-5.2	9
-8.2	9.6
-9	12.2
-8.2	14.2
-7.8	15.2
-5.4	17.2
-3	17.8
0.2	17.4
1	15.8
1.8	14.2
2	12.4
2.6	12.4
-20.6	1.2
-19.8	-1.2
-20.2	-2.8
-19.6	-5.4
-17.8	-5
-24.8	8
-24	11
-23.6	7.6
-21.2	7.4
-19.8	7
-24.2	13
-23.8	14
-23.4	15.6
-21.8	3
-19.2	3.4
-17.8	3.2
-22.4	2
-22	-2.2
-22.8	-3.2
-21.2	-4.8
-17	-6.8
-15.6	-6.4
-9.8	10.6
-7.2	8.6
-5.4	7.4
-12.2	14
-12.2	17.2
-11.4	18
-9.4	20.2
-7.8	20
-7.4	20
-5	20.6
-4.8	20.2
-10.2	18.8
-11	16.2
-11.8	14.6
-10.4	11.4
-17	15.4
-19.2	15.6
-22	16.4
-21.4	15.6
-20.8	16
