-13.8	13.6
-12.2	14.6
-11.4	15.6
-10.2	16.4
-9.2	16.2
-6.4	17.2
-5.6	17.2
-3	16.8
-1.4	16.4
1	16
2.8	15.6
3.4	14.4
4.4	14.4
5	13.6
6.2	12.2
6.4	10
6.8	9
7.2	8.8
7.2	6.2
7.2	3.8
7.4	2.6
7.4	1
7.2	-1.2
6.6	-3
6.8	-4.6
5	-5
4.4	-6.4
3.4	-7.6
1	-8.8
-0.2	-8.2
-3.2	-8.8
-4.6	-9
-6.6	-9
-8	-8.8
-10	-7.2
-11.2	-5.6
-12	-4.2
-12.6	-2.8
-13.6	-0.6
-13.4	2.4
-14.6	3.4
-15	5.2
-15	7
-14.8	9.6
-14.4	11.4
-13.8	13.6
-13.2	12.4
-14.8	10.6
-14	10.4
-14.4	9.6
-14.4	9
-14.4	7.6
-14.6	6.8
-14.6	5.8
-14.6	5.2
-14.4	3.4
-13.4	3.6
-13.8	2.8
-12.4	0.8
-12	-1.4
-11.4	-2.6
-11	-3.6
-10.2	-4.6
-9.6	-5.2
-8.8	-6.4
-8.2	-7.6
-7	-7.2
-4.8	-8
-4	-8
-2	-8
-0.8	-8
2.4	-7.6
3	-6.8
4.2	-5.4
5.2	-4.4
5.6	-3
5.8	-1.6
6.4	1.8
6.6	3.2
6.6	5.2
6.6	6.8
5.2	9.2
5.4	10.2
4	11.8
4.2	12.8
5	12
5.2	10
5.6	9.2
6.4	8.2
6.2	7.8
3.2	13.2
2.4	14.8
1	15.8
-0.6	15.4
-2.2	16
-4	16.6
-6.8	16
-8	16.2
-10.4	15.8
-10	15.6
-11.8	14.6
-13.2	12.4
-13.4	12.4
-12.4	13.4
-12.6	14.2
-8.2	15
-7.2	15.8
-6.4	16.6
-5	16.2
-3.6	16.4
-8.2	16
-9	15.8
-11	14.6
-12.8	12.6
-13.4	11.6
-13.8	10.2
-13.4	8.4
-12.8	5
-13.6	7.4
-13.8	6.2
-13.4	5
-13.2	3.4
-12	2
-12.2	-0.8
-10.6	-3.8
-8.6	-7
-6.8	-8.6
-5.8	-8.2
-0.8	-8.4
1.6	-7.2
1.8	-7.2
-3.8	-8
-9.4	8.8
-8.2	9.2
-7	9.2
-6	9.2
-5.4	9.2
-4.4	9.2
-5.2	8.6
-5.2	8.6
-6.6	8.6
-6.8	8.6
-8.8	8.6
-9.4	8.6
-8.2	8
-7.2	8.2
-8.8	9.4
-7.8	9.4
-7.2	9.4
-6.2	9.4
-5.6	9.4
-4.6	9.4
-4	8.4
-5.2	8.2
-6.8	8.2
-8	8.2
-8.8	9.2
-2.2	9.4
-1	9.6
-1.4	9.6
0.4	9.6
2.4	9.6
3	9.6
3	9.4
2.2	8.8
2.4	8.8
1.2	8.8
0.6	8.8
-1.4	8
-2.4	8.2
-2.6	8.6
-1.4	9.6
1.2	9.6
1	9.6
2.8	9.6
1.4	10.2
1.6	9.4
1	8.4
-6.6	-0.6
-6.2	-0.6
-5.8	-0.6
-5.4	-0.6
-4.2	-0.6
-2.4	-0.8
-1	-0.8
1	-1
-0.6	-1.6
-2.2	-1.6
-2.8	-1.6
-3.8	-1.8
-3.8	-1.8
-5.2	-1.6
-6.4	-1
-7.4	-1
-5	-1
-3	-1
-3.4	-1.4
-0.2	-1.8
0.8	-1.8
-1.6	-2
-1.8	-1.8
-2.8	-1
-3	-0.2
-3.6	0.4
-4.6	-1.6
-3	4.4
-4	4.4
-3.6	3.6
-3.2	2.6
-2.6	2.6
-2.6	3.2
-2.4	3.6
-2	4
-2	4.6
-3.2	5
-3.4	3
-2.8	3
-3.4	4.2
-2.2	3.8
-2.4	3.8
-3.4	3.8
-4.4	3
-4.4	-1
6.6	4.8
6	3
6	0.2
