-0.8	18.4
1.4	18.4
4.8	18
2.6	18.4
3	17.6
4	17.6
5.6	17.8
6	16.4
6.4	16
7.4	15.8
7.4	14.6
7.6	13
8.8	12.2
9	12
9.4	11.6
9.4	10.6
10	9.6
10.2	7.4
10.2	5
10.6	3.6
10.6	2.6
10.6	2
10	8.6
10.6	6.4
10.6	4.8
10.8	2
-1.4	18.8
-2.2	18.6
-3.2	18.6
-5	18
-6	17.8
-6.6	17.2
-7.8	17.2
-8.2	15.4
-9.6	15.4
-9.6	14
-9.2	13.6
-9.6	12.8
-10.4	11.4
-10.2	10.4
-10.8	9.6
-11	8
-11	7.2
-10.8	6.4
-10.8	5.6
-10.6	4.6
-10.6	4
-10.6	3
-7.6	16.6
-6	17.8
-3.8	17.6
-0.8	18
2.8	18.8
2.8	18.8
3.4	18.2
-0.6	18.2
-4.6	17
-7	16.6
-8.6	15
-8.2	13.8
-9.2	10.4
-10.4	8
-10.2	6
-10.4	4.8
-10.6	2.4
9.8	2.8
9.8	0.8
9.8	-1
8	-2.2
7.2	-3.2
7.2	-4
5.6	-5.2
4.4	-6.8
3.6	-7.6
2.8	-7.4
2.6	-7.8
-10.6	2.6
-10	1.8
-9.6	-1.6
-8	-2
-7.4	-3.8
-6	-4.4
-4.4	-6.2
-6.4	-4.2
-5.2	-5
-4.2	-6.4
-3	-6.4
-1.2	-7.4
0	-7
1.8	-7.6
-8	1.2
-9.4	1
-7.8	-2.4
-6.4	-3.4
-5.4	-4
-3.6	-5.4
-2.2	-5.4
0.4	-6
1.8	-6
3.4	-6.6
4.6	-6.4
5.6	-4.4
7	-2.4
6	-3.6
4	-5.6
2	-6
0.4	-6.6
1.4	-6.6
2.4	-7.4
-2	-6.6
-5.2	-5
-5.4	-4.8
-8.4	-1.4
-9.6	1.2
-7.8	-1.6
-7.2	-2.6
-10.2	4.6
-10.6	6.2
-9.8	8
-9.8	10
-10	10.2
-10	9.8
-10	9.8
-9.4	12.6
-8.8	13
-7.2	16.2
-6.8	16
-4.8	17.2
-2.8	17.8
0.6	17.8
3.4	17.6
3.4	17.2
4.4	16
6	15.4
6.6	14.8
7.2	13.4
8.6	11.6
9.6	11.4
7.4	13
8.8	11.8
8.2	10.6
8.6	9.8
9.8	8
9	7.2
4.8	16.8
2	17.8
1.4	17.6
1.2	18
1	18
-5.4	10.6
-4.6	10.8
-5	10.8
-3.2	11
-2.8	10.4
-2.8	10.4
-1.2	10
-2.4	9.6
-2	9.8
-3.8	9.8
-4.4	10
-5	10
-5.4	10.2
-6.2	10.4
-2.6	10.6
-2.2	10.6
1.2	11.6
2.2	11.2
3.6	11
4.4	11.2
5.8	11.2
5.4	11.2
4.6	10.8
3.2	10.2
2.6	10.2
2.4	10.4
1.4	10.6
1	10
2.2	10
2.4	10
3	10
4.2	10
5	10
5.8	10.2
5.8	10
-1.8	6.4
-1.8	6.4
-1.8	5.8
-1.8	4.8
-1.6	4
-0.2	4.4
0.8	4.4
1.8	5.4
1.8	5.8
1.6	6.6
0.2	7
-0.8	6.8
-0.2	5.2
-0.2	5.6
-0.4	5.2
0.2	6.6
1	5.8
0.8	4.4
1.4	3.4
1.6	4.6
1.4	3.6
0.4	3.6
-1.4	3.6
-1.8	3.6
-1.4	4
-2.2	-0.8
-1	-1
-1.2	-1.6
1.2	-1.6
2	-1.6
3.4	-1.6
3	-1.6
3.4	-1.2
1.8	-1.4
-1.4	-1
-1.6	-1
-2.6	-1.8
-2.6	-1.6
-1.4	-2.2
-0.6	-2.2
0.8	-2.2
1.6	-2.2
3	-2.2
3.2	-2.2
2.6	-0.8
1.4	-0.8
-0.6	-0.8
-1.6	-0.6
-2.4	-0.6
-2.4	-1
1.4	-1.6
2.4	-1.6
2.8	-1.6
